"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Class"
-122.23,111900,299,52,1252,"D",280,844,23.929,37.8,1
-122.23,112800,1344,43,5963,"D",1231,4367,21.917,37.79,2
-122.23,107900,395,52,1783,"D",412,1659,29.357,37.79,1
-122.23,137500,264,30,999,"D",263,1011,18.854,37.79,1
-122.24,105500,431,39,1469,"D",389,1464,21.638,37.79,1
-122.24,95500,395,47,1372,"D",303,1237,2.125,37.79,1
-122.24,116100,180,52,674,"D",168,647,3.375,37.79,1
-122.24,112200,376,43,1626,"D",357,1284,22.542,37.79,1
-122.25,75000,43,51,175,"D",55,228,2.1,37.79,1
-122.25,112500,129,39,461,"D",123,381,1.6,37.79,1
-122.25,125000,237,52,902,"D",227,846,3.625,37.79,1
-122.26,115000,779,20,2373,"D",676,1659,16.929,37.8,1
-122.22,95000,128,52,391,"D",138,520,16.471,37.77,1
-122.22,96400,301,52,1137,"D",259,866,2.59,37.77,1
-122.23,72000,206,52,769,"D",183,612,2.57,37.77,1
-122.23,71300,146,52,472,"D",126,415,26.429,37.78,1
-122.23,80800,215,52,862,"D",213,994,30.257,37.78,1
-122.22,128800,530,50,1920,"D",477,1525,14.886,37.78,1
-122.23,112500,472,43,1420,"D",438,1506,19.338,37.78,1
-122.23,119400,258,52,986,"D",255,1008,14.844,37.78,1
-122.23,118100,825,44,2340,"D",751,2813,16.009,37.78,1
-122.23,122500,396,48,1696,"D",343,1481,20.375,37.79,1
-122.23,106300,217,49,1175,"D",219,859,2.293,37.79,1
-122.22,132500,574,37,2343,"D",523,1608,21.494,37.79,1
-122.23,122700,145,30,610,"D",140,425,16.198,37.79,1
-122.23,113300,199,40,930,"D",184,564,13.281,37.79,1
-122.22,109500,314,44,1487,"D",272,961,35.156,37.79,1
-122.22,164700,690,52,3424,"D",685,2273,39.048,37.79,1
-122.21,125000,190,52,762,"D",195,600,30.893,37.79,1
-122.22,124700,575,46,2366,"D",527,1647,26.042,37.79,1
-122.22,136700,450,49,1826,"D",424,1201,2.5,37.79,1
-122.22,141700,711,38,3049,"D",659,2167,27.969,37.79,1
-122.2,150000,376,29,1640,"D",340,939,28.321,37.79,1
-122.21,138800,307,47,1543,"D",292,859,29.583,37.79,1
-122.21,139200,557,34,2364,"D",516,1517,28.365,37.79,1
-122.21,143800,409,35,1745,"D",386,1143,2.875,37.79,1
-122.21,156500,500,39,2003,"D",464,1109,30.682,37.8,1
-122.21,151000,447,39,2018,"D",446,1221,30.757,37.8,1
-122.2,273000,499,43,3045,"D",455,1115,49.559,37.8,1
-122.2,217100,293,52,1547,"D",268,706,47.721,37.8,1
-122.21,187100,711,52,3519,"D",706,1883,34.861,37.8,1
-122.2,239600,354,41,2070,"D",340,804,51.184,37.8,1
-122.21,229700,263,48,1321,"D",252,506,40.977,37.8,1
-122.19,257300,259,48,1694,"D",238,610,4.744,37.8,1
-122.19,246900,341,46,1938,"D",332,768,42.727,37.8,1
-122.19,179900,195,50,968,"D",184,462,29.844,37.79,1
-122.2,169600,256,40,1060,"D",235,667,41.739,37.79,1
-122.2,203300,405,46,2041,"D",399,1059,38.487,37.8,1
-122.19,263400,271,52,1813,"D",277,637,40.114,37.8,1
-122.19,231800,451,45,2718,"D",454,1106,46.563,37.79,1
-122.19,140500,761,28,3144,"D",669,1737,29.297,37.79,1
-122.2,126000,459,35,1802,"D",390,1009,23.036,37.79,1
-122.2,122000,195,49,882,"D",210,737,26.667,37.79,1
-122.2,134700,452,44,1621,"D",491,1354,2.619,37.79,1
-122.21,139400,533,45,2115,"D",474,1530,24.167,37.79,1
-122.2,115400,528,45,2021,"D",480,1410,27.788,37.79,1
-122.21,137300,508,46,2239,"D",569,1390,27.352,37.78,1
-122.21,137000,300,52,1477,"D",269,1065,18.472,37.78,1
-122.21,142600,224,52,1056,"D",245,792,26.583,37.78,1
-122.21,137500,244,49,898,"D",245,779,30.536,37.78,1
-122.22,111700,710,44,2968,"D",610,2269,23.906,37.78,1
-122.21,126800,460,43,1702,"D",407,1227,17.188,37.78,1
-122.21,111300,248,47,881,"D",241,753,2.625,37.78,1
-122.22,114800,114,40,494,"D",135,547,28.015,37.77,1
-122.22,102300,473,50,1776,"D",440,1807,17.276,37.78,1
-122.22,131900,514,44,1678,"D",495,1700,20.801,37.78,1
-122.22,119100,463,51,1637,"D",393,1543,2.489,37.78,1
-122.21,80600,314,52,1420,"D",300,1085,17.546,37.76,1
-122.21,80600,173,52,591,"D",137,353,40.904,37.77,1
-122.21,88800,153,52,745,"D",149,473,26.765,37.77,1
-122.2,102400,498,49,2272,"D",483,1621,24.338,37.77,1
-122.21,98700,375,46,1234,"D",354,1183,23.309,37.77,1
-122.21,1e+05,328,43,1017,"D",277,836,22.604,37.77,1
-122.19,92300,254,42,932,"D",263,900,18.039,37.77,1
-122.2,94800,597,39,2689,"D",537,1888,22.562,37.77,1
-122.2,102000,415,41,1547,"D",341,1024,20.562,37.77,1
-122.2,158400,443,52,2300,"D",423,1225,35.398,37.78,1
-122.2,121600,399,39,1752,"D",376,1071,31.167,37.78,1
-122.2,129100,403,50,1867,"D",378,1128,25.401,37.78,1
-122.2,121400,502,43,2430,"D",484,1537,2.898,37.77,1
-122.21,102800,414,44,1729,"D",393,1240,23.125,37.78,1
-122.19,160000,180,52,1026,"D",168,469,2.875,37.78,1
-122.19,143900,428,52,2170,"D",425,1086,33.715,37.77,1
-122.19,151200,445,52,2329,"D",417,1144,35.114,37.77,1
-122.19,164400,415,52,2492,"D",375,1109,43.125,37.78,1
-122.19,156500,397,52,2198,"D",369,984,3.22,37.78,1
-122.18,225000,31,33,142,"D",47,575,3.875,37.78,1
-122.19,174200,205,49,1183,"D",209,496,52.328,37.78,1
-122.19,166900,193,52,1070,"D",190,555,37.262,37.78,1
-122.2,163500,332,45,1766,"D",327,869,45.893,37.78,1
-122.18,253000,95,39,617,"D",106,236,52.578,37.79,1
-122.18,240700,233,41,1411,"D",214,626,70.875,37.79,1
-122.18,208100,387,46,2109,"D",329,922,39.712,37.79,1
-122.19,198100,243,47,1229,"D",256,582,29.514,37.79,1
-122.19,172800,217,50,954,"D",201,546,26.667,37.79,1
-122.18,336700,262,37,1643,"D",266,620,54.446,37.81,1
-122.18,318200,195,34,1355,"D",195,442,62.838,37.8,1
-122.18,285800,336,23,2317,"D",328,955,67.527,37.8,1
-122.13,293000,317,24,2459,"D",324,916,70.712,37.77,1
-122.16,371000,2048,22,12842,"D",1967,4985,59.849,37.79,2
-122.17,157300,260,42,1524,"D",267,651,36.875,37.78,1
-122.17,135300,746,30,3326,"D",703,1704,2.875,37.77,1
-122.18,136700,440,43,1985,"D",407,1085,34.205,37.78,1
-122.18,160700,322,50,1642,"D",284,713,32.984,37.78,1
-122.17,140600,177,49,893,"D",181,468,3.875,37.78,1
-122.17,144000,128,52,653,"D",121,296,4.175,37.78,1
-122.16,156300,194,48,977,"D",180,446,47.708,37.77,1
-122.16,176000,397,45,2324,"D",384,968,35.739,37.77,1
-122.16,145800,349,39,1583,"D",316,857,30.958,37.77,1
-122.17,141900,342,39,1612,"D",322,912,33.958,37.77,1
-122.17,90700,533,31,2424,"D",452,1360,1.871,37.77,1
-122.17,90600,367,41,1594,"D",355,1074,19.356,37.76,1
-122.17,107900,413,47,2118,"D",382,965,21.842,37.76,1
-122.18,107000,358,37,1575,"D",320,933,22.917,37.76,1
-122.17,98200,397,38,1764,"D",354,987,24.333,37.76,1
-122.18,89500,261,50,1187,"D",246,907,19.479,37.76,1
-122.18,93800,175,52,754,"D",165,447,39.063,37.76,1
-122.18,96700,452,49,2308,"D",451,1299,18.407,37.76,1
-122.18,97500,236,27,909,"D",157,396,20.786,37.77,1
-122.18,97300,257,42,1180,"D",268,877,28.125,37.77,1
-122.18,91200,408,43,2018,"D",367,1111,18.913,37.76,1
-122.19,91400,282,49,1368,"D",269,790,17.056,37.76,1
-122.18,96200,547,52,2744,"D",554,1479,22.768,37.77,1
-122.18,120100,471,51,2107,"D",438,1173,32.552,37.77,1
-122.18,1e+05,362,52,1748,"D",366,1029,20.556,37.77,1
-122.19,94700,391,52,2024,"D",350,1030,24.659,37.76,1
-122.2,85700,259,47,1116,"D",279,826,1.75,37.76,1
-122.19,89300,510,41,2036,"D",454,1412,20.469,37.77,1
-122.19,101400,393,45,1852,"D",349,1132,27.159,37.77,1
-122.19,72500,207,41,921,"D",159,522,12.083,37.76,1
-122.19,74100,238,45,995,"D",237,630,1.925,37.76,1
-122.2,70000,132,36,606,"D",133,531,15.809,37.75,1
-122.2,84600,736,37,2680,"D",667,1925,14.097,37.76,1
-122.19,81800,370,38,1493,"D",351,1144,0.7683,37.76,1
-122.19,81400,565,19,2207,"D",520,1481,13.194,37.75,1
-122.19,81800,189,28,856,"D",162,435,0.8012,37.75,1
-122.19,85800,297,26,1293,"D",303,984,19.479,37.76,1
-122.19,87100,212,36,847,"D",159,567,11.765,37.74,1
-122.18,83500,154,42,541,"D",123,380,23.456,37.74,1
-122.19,79700,253,44,1066,"D",244,825,21.538,37.73,1
-122.19,83400,147,43,707,"D",155,417,25.139,37.74,1
-122.19,84700,291,45,1528,"D",287,801,12.625,37.73,1
-122.18,80000,215,42,909,"D",198,646,29.063,37.73,1
-122.18,76400,293,43,1391,"D",285,855,25.192,37.73,1
-122.18,79700,119,44,548,"D",136,435,21.111,37.73,1
-122.18,82400,874,42,4074,"D",780,2736,2.455,37.73,1
-122.17,97700,445,41,1613,"D",414,1481,24.028,37.74,1
-122.17,97200,134,47,463,"D",137,327,2.15,37.74,1
-122.17,101600,193,43,818,"D",179,494,24.776,37.74,1
-122.17,86500,371,43,1473,"D",341,1231,21.587,37.73,1
-122.18,90500,126,35,504,"D",109,323,18.438,37.74,1
-122.17,107600,226,46,1026,"D",225,749,30.298,37.74,1
-122.17,84200,183,46,769,"D",178,693,2.25,37.74,1
-122.18,88900,391,46,2103,"D",354,1339,22.467,37.74,1
-122.18,80700,76,45,330,"D",80,282,40.469,37.75,1
-122.18,87100,218,46,941,"D",195,621,1.325,37.75,1
-122.18,82000,261,45,990,"D",260,901,21.731,37.75,1
-122.19,82800,263,36,1126,"D",150,482,19.167,37.75,1
-122.18,84600,233,43,1036,"D",213,652,2.069,37.75,1
-122.18,82100,214,36,1047,"D",166,651,1.712,37.75,1
-122.17,89300,307,33,1280,"D",286,999,25.625,37.76,1
-122.17,98300,320,43,1587,"D",306,907,19.821,37.75,1
-122.17,92300,271,41,1257,"D",230,828,25.043,37.75,1
-122.17,88800,248,44,1218,"D",254,763,23.281,37.75,1
-122.17,90000,390,48,1751,"D",349,935,14.375,37.75,1
-122.16,95500,514,45,2299,"D",484,1437,25.122,37.76,1
-122.16,91700,624,38,2457,"D",482,1516,15.625,37.75,1
-122.17,100400,211,47,998,"D",185,597,31.587,37.75,1
-122.17,94800,343,40,1685,"D",342,949,18.426,37.76,1
-122.16,164300,307,46,1827,"D",302,881,46.696,37.76,1
-122.16,155500,574,36,2781,"D",519,1438,24.598,37.76,1
-122.15,196900,286,39,1823,"D",270,763,60.749,37.76,1
-122.14,279100,365,27,2229,"D",355,1297,48.304,37.77,1
-122.14,252800,231,34,1513,"D",211,545,55.701,37.76,1
-122.13,275400,491,26,3266,"D",533,1222,5.37,37.76,1
-122.12,250000,261,33,1809,"D",219,808,6.86,37.75,1
-122.12,329800,111,28,794,"D",109,329,76.923,37.75,1
-122.14,195500,105,36,690,"D",109,299,40.313,37.75,1
-122.14,255900,200,33,1334,"D",202,579,68.323,37.75,1
-122.13,311100,54,30,414,"D",50,137,4.975,37.75,1
-122.13,330000,93,36,768,"D",93,229,53.602,37.75,1
-122.13,248900,666,41,4400,"D",648,1476,5,37.74,1
-122.16,142900,161,46,954,"D",154,429,2.925,37.75,1
-122.15,126300,256,40,1445,"D",255,849,38.913,37.75,1
-122.15,135800,399,44,1938,"D",331,946,3.225,37.75,1
-122.15,130600,178,41,856,"D",191,571,31.458,37.74,1
-122.16,107900,454,24,1790,"D",386,1137,2.537,37.75,1
-122.16,111100,131,44,617,"D",135,378,25.568,37.75,1
-122.15,122000,275,43,1383,"D",272,853,35.083,37.74,1
-122.15,118000,277,49,1325,"D",282,764,33.125,37.74,1
-122.16,95200,294,40,1227,"D",261,928,18.235,37.75,1
-122.16,94300,140,35,667,"D",133,406,38.047,37.75,1
-122.17,92500,281,34,1223,"D",280,824,22.917,37.74,1
-122.17,91800,287,37,1379,"D",259,835,24.962,37.75,1
-122.16,109400,300,43,1534,"D",295,826,40.417,37.74,1
-122.16,129500,181,46,1029,"D",211,567,34.844,37.74,1
-122.16,143400,147,52,771,"D",144,355,41.458,37.74,1
-122.16,98200,223,47,824,"D",166,533,2.625,37.74,1
-122.16,103100,239,44,1097,"D",215,609,20.227,37.74,1
-122.29,276800,238,49,1283,"D",236,576,33.333,37.9,1
-122.29,270900,263,52,1604,"D",286,594,5.338,37.9,1
-122.29,246200,422,52,2248,"D",377,870,34.732,37.89,1
-122.3,224200,522,38,2263,"D",509,1027,35.125,37.9,1
-122.29,229100,349,52,1571,"D",326,693,31.375,37.89,1
-122.3,211600,402,46,1520,"D",375,815,28.036,37.89,1
-122.3,256100,1212,15,5083,"D",1146,2420,45.824,37.9,2
-122.3,206300,293,36,1077,"D",276,518,30.208,37.89,1
-122.3,221300,283,52,1248,"D",275,620,40.875,37.89,1
-122.33,207400,291,42,1342,"D",266,551,45.268,37.89,1
-122.34,350000,930,37,3061,"D",924,2556,17.375,37.88,1
-122.29,218200,698,52,3171,"D",696,1498,31.795,37.89,1
-122.29,216700,261,50,1211,"D",227,523,38.672,37.88,1
-122.29,270600,175,52,979,"D",153,374,51.675,37.89,1
-122.29,261400,380,52,2269,"D",371,1004,51.696,37.89,1
-122.28,261300,332,52,1844,"D",334,769,42.614,37.88,1
-122.29,232200,421,52,2178,"D",423,940,50.551,37.89,1
-122.27,375400,274,42,1650,"D",256,645,56.228,37.9,1
-122.26,357300,279,52,1927,"D",288,705,78.864,37.9,1
-122.27,374400,273,52,2079,"D",275,684,79.556,37.9,1
-122.27,358800,240,52,1803,"D",236,572,6.174,37.9,1
-122.27,417500,270,52,2041,"D",253,671,69.414,37.9,1
-122.27,430500,373,52,3046,"D",365,975,88.342,37.89,1
-122.28,362900,328,52,2318,"D",312,779,71.754,37.9,1
-122.28,397000,250,52,2003,"D",244,658,100.825,37.9,1
-122.28,346800,328,52,2261,"D",335,819,49.083,37.9,1
-122.28,327100,169,52,1225,"D",168,412,57.912,37.89,1
-122.28,290100,408,52,2315,"D",369,835,45.893,37.89,1
-122.28,292000,329,52,2070,"D",306,722,54.171,37.89,1
-122.28,270900,473,52,2616,"D",487,1085,4.125,37.89,1
-122.27,371100,366,52,2640,"D",355,973,7.266,37.89,1
-122.27,335600,293,52,1978,"D",272,723,53.989,37.89,1
-122.26,371300,335,37,2220,"D",362,903,78.336,37.9,1
-122.25,344000,195,41,1125,"D",181,356,61.593,37.89,1
-122.26,342200,494,52,3078,"D",462,1005,6.381,37.89,1
-122.26,370900,531,52,3706,"D",504,1205,66.828,37.89,1
-122.25,350000,457,37,3000,"D",450,987,75.385,37.89,1
-122.25,368600,460,42,2863,"D",448,1031,67.138,37.89,1
-122.26,391800,417,52,2551,"D",404,894,62.425,37.88,1
-122.26,415300,410,52,2255,"D",377,823,57.979,37.88,1
-122.27,284900,648,52,3360,"D",621,1232,42.813,37.88,1
-122.27,287500,391,52,1693,"D",367,669,35.417,37.88,1
-122.27,272900,592,44,2252,"D",550,989,30.132,37.88,1
-122.28,259600,491,52,2495,"D",464,1058,41.429,37.88,1
-122.28,254500,200,52,1193,"D",207,506,41.912,37.88,1
-122.28,235600,215,52,1172,"D",218,489,39.167,37.88,1
-122.29,218400,424,52,2159,"D",388,824,38.897,37.88,1
-122.29,229200,490,48,2365,"D",475,1034,31.065,37.88,1
